opcode,template,addr_mode,flow_type,data_ref_address,code_ref_address,
0d,ora {abs},Absolute,Continue,abs_addr,,
0e,asl {abs},Absolute,Continue,abs_addr,,
2c,bit {abs},Absolute,Continue,abs_addr,,
2d,and {abs},Absolute,Continue,abs_addr,,
2e,rol {abs},Absolute,Continue,abs_addr,,
4d,eor {abs},Absolute,Continue,abs_addr,,
4e,lsr {abs},Absolute,Continue,abs_addr,,
6d,adc {abs},Absolute,Continue,abs_addr,,
6e,ror {abs},Absolute,Continue,abs_addr,,
8c,sty {abs},Absolute,Continue,abs_addr,,
8d,sta {abs},Absolute,Continue,abs_addr,,
8e,stx {abs},Absolute,Continue,abs_addr,,
ac,ldy {abs},Absolute,Continue,abs_addr,,
ad,lda {abs},Absolute,Continue,abs_addr,,
ae,ldx {abs},Absolute,Continue,abs_addr,,
cc,cpy {abs},Absolute,Continue,abs_addr,,
cd,cmp {abs},Absolute,Continue,abs_addr,,
ce,dec {abs},Absolute,Continue,abs_addr,,
ec,cpx {abs},Absolute,Continue,abs_addr,,
ed,sbc {abs},Absolute,Continue,abs_addr,,
ee,inc {abs},Absolute,Continue,abs_addr,,
20,jsr {abs},Absolute,SubroutineCall,,abs_addr,
4c,jmp {abs},Absolute,UnconditionalJump,,abs_addr,
1d,"ora {abs},x",AbsoluteX,Continue,abs_addr,,
1e,"asl {abs},x",AbsoluteX,Continue,abs_addr,,
3d,"and {abs},x",AbsoluteX,Continue,abs_addr,,
3e,"rol {abs},x",AbsoluteX,Continue,abs_addr,,
5d,"eor {abs},x",AbsoluteX,Continue,abs_addr,,
5e,"lsr {abs},x",AbsoluteX,Continue,abs_addr,,
7d,"adc {abs},x",AbsoluteX,Continue,abs_addr,,
7e,"ror {abs},x",AbsoluteX,Continue,abs_addr,,
9d,"sta {abs},x",AbsoluteX,Continue,abs_addr,,
bc,"ldy {abs},x",AbsoluteX,Continue,abs_addr,,
bd,"lda {abs},x",AbsoluteX,Continue,abs_addr,,
dd,"cmp {abs},x",AbsoluteX,Continue,abs_addr,,
